Time,A/F Correction #1 (%),A/F Learning #1 (%),A/F Sensor #1 (AFR),Accelerator Pedal Angle (%),Boost Error* (bar),Coolant Temperature (C),Engine Speed (rpm),Exhaust VVT Advance Angle Left (degrees),Exhaust VVT Advance Angle Right (degrees),Feedback Knock Correction (1-byte)** (degrees),Final Fueling Base (2-byte)* (estimated AFR),Fine Learning Knock Correction (degrees),Fuel Injector #1 Pulse Width (ms),Gear (Calculated)* (position),IAM (multiplier),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake Air Temperature (C),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Knock Sum* (count),Manifold Absolute Pressure (bar),Manifold Relative Pressure (bar),Mass Airflow (g/s),Primary Wastegate Duty Cycle (%),Throttle Opening Angle (%),Vehicle Speed (km/h)
0,0.78,-5.47,14.70,38.43,0.090,84,2135,19,19,0.00,14.20,0.00,6.91,1,1.0000,16.00,12.30,13,19,20,15,1.080,0.070,44.88,1.57,26.67,12
31,0.78,-5.47,14.70,38.43,0.073,84,2154,20,19,0.00,14.20,0.00,6.91,1,1.0000,16.00,12.41,13,20,20,15,1.090,0.080,45.44,1.57,26.67,12
78,1.56,-5.47,14.81,38.43,0.073,84,2165,20,19,0.00,14.20,0.00,7.17,1,1.0000,16.00,12.93,13,20,21,15,1.100,0.090,46.73,1.57,27.06,13
129,2.34,-5.47,14.93,38.43,0.058,84,2205,20,20,0.00,14.22,0.00,7.42,1,1.0000,16.50,13.64,13,21,21,15,1.110,0.100,48.73,1.57,27.45,13
159,0.00,-5.47,14.93,38.43,0.038,84,2268,21,20,0.00,13.93,0.00,7.68,1,1.0000,17.00,14.52,13,22,22,15,1.130,0.120,50.59,1.57,27.45,14
187,0.00,-5.47,14.70,38.43,0.038,84,2304,22,20,0.00,13.93,0.00,7.68,1,1.0000,17.00,14.74,13,23,22,15,1.130,0.130,51.30,1.57,27.45,14
238,0.00,-5.47,14.59,38.04,0.022,84,2338,23,21,0.00,13.84,0.00,7.68,1,1.0000,17.50,14.96,13,23,22,15,1.140,0.130,52.03,1.57,27.45,15
284,0.00,-5.47,14.36,36.86,0.003,84,2399,25,22,0.00,13.82,0.00,7.94,1,1.0000,18.50,15.87,13,25,24,15,1.150,0.140,56.23,1.18,27.06,15
313,0.00,-5.47,14.24,29.80,0.003,84,2462,26,23,0.00,13.82,0.00,8.19,1,1.0000,19.00,16.81,13,26,25,15,1.160,0.150,57.25,1.18,26.27,16
344,0.00,-5.47,14.13,21.18,-0.081,84,2470,26,24,0.00,13.67,0.00,8.19,1,1.0000,19.00,16.86,13,27,27,15,1.160,0.160,58.12,0.78,25.49,16
373,0.00,-5.47,14.01,8.24,-0.081,84,2492,27,24,0.00,13.67,0.00,8.19,1,1.0000,19.00,17.02,13,28,27,15,1.160,0.150,58.12,0.78,21.57,17
399,0.00,-5.47,14.01,3.14,-0.766,84,2540,27,25,0.00,13.76,0.00,7.17,1,1.0000,20.50,15.18,13,29,28,15,1.060,0.060,50.46,0.00,15.69,17
427,0.00,-5.47,13.90,1.18,-0.766,84,2525,28,25,0.00,13.76,0.00,6.40,1,1.0000,22.00,13.47,13,30,29,15,0.970,-0.030,37.44,0.00,12.16,17
453,0.00,-5.47,13.67,0.78,-0.534,84,2502,29,25,0.00,17.23,0.00,5.63,1,1.0000,24.50,11.75,13,31,30,15,0.900,-0.100,20.23,0.00,11.37,18
479,-0.78,-5.47,13.44,1.18,-0.534,84,2466,29,26,0.00,17.23,0.00,4.86,1,1.0000,28.00,10.00,13,32,31,15,0.840,-0.160,17.68,0.00,10.59,18
507,-4.69,-5.47,13.09,1.96,-0.534,84,2390,29,26,0.00,17.23,0.00,4.35,1,1.0000,35.00,8.67,13,33,33,15,0.770,-0.230,15.89,0.00,10.59,18
533,-6.25,-5.47,12.98,2.75,-0.425,84,2356,29,26,0.00,16.37,0.00,3.84,1,1.0000,39.00,7.54,13,34,33,15,0.760,-0.250,13.58,0.00,10.20,19
565,-8.59,-5.47,12.75,3.92,-0.425,84,2315,28,26,0.00,16.37,0.00,3.84,1,1.0000,41.50,7.41,13,34,33,15,0.700,-0.310,13.04,0.00,9.80,19
593,-10.94,-5.47,12.52,7.45,-0.358,84,2279,28,25,0.00,15.95,0.00,3.07,1,1.0000,43.50,5.83,13,34,33,15,0.690,-0.320,11.44,0.00,9.41,19
630,-13.28,-5.47,12.40,15.29,-0.358,84,2247,27,24,0.00,15.95,0.00,2.56,1,1.0000,45.50,4.79,13,33,32,15,0.650,-0.350,10.21,0.00,10.20,19
679,-13.28,-4.69,12.52,21.57,0.181,84,2224,25,24,0.00,15.13,0.00,2.56,1,1.0000,48.00,4.74,13,30,32,15,0.630,-0.370,12.12,0.00,15.29,20
728,-12.50,-4.69,12.75,26.67,0.249,84,2200,25,23,0.00,12.23,0.00,4.10,1,1.0000,41.50,7.51,13,27,28,15,0.840,-0.170,47.05,0.00,22.35,20
768,-14.06,-5.47,13.21,29.41,0.249,84,2205,23,21,0.00,12.23,0.00,5.12,1,1.0000,32.50,9.41,13,25,25,15,0.960,-0.050,49.16,0.00,25.10,20
